CATEGORY,NAME,STATUS,VOTES,LAST VOTED
Nungua,Naa Borley,Active,4691,2021-10-23 22:47:05
Prampram,Naadu,Active,4460,2021-10-23 22:43:22
La,Naa Atswei,Active,4248,2021-10-23 22:51:01
Tema,Naa Adjeley,Active,4043,2021-10-23 22:41:00
Osu,Naa Korlei ,Active,3900,2021-10-23 22:45:26
Ada,Naana Kabukwor,Active,3878,2021-10-23 22:46:08
Krobo ,Naana Tettekie,Active,3814,2021-10-23 22:53:31
Shai-Osudoku,Maku,Active,3809,2021-10-23 22:52:04
Teshie,Naa Atswei,Active,3771,2021-10-23 22:48:20
Ga Mashie,Naa Lankai,Active,3119,2021-10-23 22:42:36
Kpone,Naa Akuye,Active,371,2021-10-23 22:49:13
